"Experiment","FDR","peptide_ids"
"IMwin_IMscored",0.133,26289
"TimsOff",0.134,18456
"TimsOn",0.134,21757
"IMwin",0.134,25997
"IMwin_IMscored",0.134,26330
"TimsOff",0.135,18491
"TimsOn",0.135,21797
"IMwin",0.135,26035
"IMwin_IMscored",0.135,26383
"TimsOff",0.136,18521
"TimsOn",0.136,21854
"IMwin",0.136,26068
"IMwin_IMscored",0.136,26427
"TimsOff",0.137,18559
"TimsOn",0.137,21908
"IMwin",0.137,26100
"IMwin_IMscored",0.137,26461
"TimsOff",0.138,18600
"TimsOn",0.138,21961
"IMwin",0.138,26145
"IMwin_IMscored",0.138,26495
"TimsOff",0.139,18641
"TimsOn",0.139,22019
"IMwin",0.139,26192
"IMwin_IMscored",0.139,26537
"TimsOff",0.14,18674
"TimsOn",0.14,22049
"IMwin",0.14,26248
"IMwin_IMscored",0.14,26593
"TimsOff",0.141,18701
"TimsOn",0.141,22123
"IMwin",0.141,26291
"IMwin_IMscored",0.141,26632
"TimsOff",0.142,18747
"TimsOn",0.142,22155
"IMwin",0.142,26333
"IMwin_IMscored",0.142,26668
"TimsOff",0.143,18772
"TimsOn",0.143,22213
"IMwin",0.143,26381
"IMwin_IMscored",0.143,26722
"TimsOff",0.144,18806
"TimsOn",0.144,22257
"IMwin",0.144,26427
"IMwin_IMscored",0.144,26771
"TimsOff",0.145,18850
"TimsOn",0.145,22297
"IMwin",0.145,26495
"IMwin_IMscored",0.145,26815
"TimsOff",0.146,18894
"TimsOn",0.146,22367
"IMwin",0.146,26548
"IMwin_IMscored",0.146,26860
"TimsOff",0.147,18940
"TimsOn",0.147,22405
"IMwin",0.147,26590
"IMwin_IMscored",0.147,26890
"TimsOff",0.148,18971
"TimsOn",0.148,22432
"IMwin",0.148,26618
"IMwin_IMscored",0.148,26921
"TimsOff",0.149,19005
"TimsOn",0.149,22485
"IMwin",0.149,26659
"IMwin_IMscored",0.149,26958
"TimsOff",0.15,19048
"TimsOn",0.15,22519
"IMwin",0.15,26706
"IMwin_IMscored",0.15,26992
"TimsOff",0.151,19101
"TimsOn",0.151,22562
"IMwin",0.151,26750
"IMwin_IMscored",0.151,27031
"TimsOff",0.152,19127
"TimsOn",0.152,22602
"IMwin",0.152,26795
"IMwin_IMscored",0.152,27065
"TimsOff",0.153,19148
"TimsOn",0.153,22660
"IMwin",0.153,26850
"IMwin_IMscored",0.153,27108
"TimsOff",0.154,19179
"TimsOn",0.154,22698
"IMwin",0.154,26900
"IMwin_IMscored",0.154,27162
"TimsOff",0.155,19209
"TimsOn",0.155,22728
"IMwin",0.155,26952
"IMwin_IMscored",0.155,27189
"TimsOff",0.156,19258
"TimsOn",0.156,22764
"IMwin",0.156,26991
"IMwin_IMscored",0.156,27234
"TimsOff",0.157,19290
"TimsOn",0.157,22798
"IMwin",0.157,27020
"IMwin_IMscored",0.157,27269
"TimsOff",0.158,19325
"TimsOn",0.158,22829
"IMwin",0.158,27070
"IMwin_IMscored",0.158,27305
"TimsOff",0.159,19369
"TimsOn",0.159,22871
"IMwin",0.159,27119
"IMwin_IMscored",0.159,27360
"TimsOff",0.16,19416
"TimsOn",0.16,22948
"IMwin",0.16,27165
"IMwin_IMscored",0.16,27398
"TimsOff",0.161,19471
"TimsOn",0.161,22997
"IMwin",0.161,27206
"IMwin_IMscored",0.161,27453
"TimsOff",0.162,19506
"TimsOn",0.162,23068
"IMwin",0.162,27249
"IMwin_IMscored",0.162,27511
"TimsOff",0.163,19540
"TimsOn",0.163,23122
"IMwin",0.163,27288
"IMwin_IMscored",0.163,27562
"TimsOff",0.164,19578
"TimsOn",0.164,23195
"IMwin",0.164,27328
"IMwin_IMscored",0.164,27616
"TimsOff",0.165,19619
"TimsOn",0.165,23246
"IMwin",0.165,27378
"IMwin_IMscored",0.165,27682
